コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,サムネイルのインプレッション,サムネイルのクリック率 (%)
1uTyUMjhOwU,「もう一枚撮ります」は、悪いものが写ったサイン？　#検査の不安 #追加撮影 #撮り直し #医療検査 #放射線検査 #患者さん向け #診療放射線技師,"Aug 2, 2026",56,,,,12,0
JtwA78OWaew,レントゲンのあとCTを追加するのは、失敗だったから？　#レントゲン #CT検査 #骨折 #整形外科 #追加検査 #検査の不安 #患者さん向け #診療放射線技師,"Aug 7, 2026",56,,,,6,0
pPExvp0TwAc,検査中にトイレへ行きたくなったら、言って大丈夫です　#MRI検査 #CT検査 #検査前の不安 #トイレ問題 #医療検査 #患者さん向け #診療放射線技師,"Jul 27, 2026",55,,,,16,0
fdQ0S89tRvI,骨がくっついたかどうか、レントゲンだけでわかるの？#診療放射線技師 #レントゲン #X線写真 #骨折 #骨折治療 #骨折後 #仮骨 #CT検査 #医療知識 #検査の不安 #患者さん向け #放射線検査,"Jul 21, 2026",67,,,,23,0
ihD-yflBE84,結果を聞くとき、何を質問すればいいか#検査結果 #病院受診 #医師に聞くこと #検査の不安 #診療放射線技師 #CT検査 #MRI検査,"May 28, 2026",41,,,,4,0
uY9ztG_Y_0Y,レントゲンで異常なし。でも痛みが続くときは？ #レントゲン #X線検査 #痛みが続く #異常なし #MRI検査 #検査の不安 #診療放射線技師,"Aug 3, 2026",52,,,,25,0
eMQqu-Jns6w,明日検査の人、前日はこれだけ確認#検査前#検査前日#検査準備#放射線技師#病院検査#CT検査#MRI検査#健康診断#医療#医療知識#患者さん向け#不安解消#お薬手帳#検査の不安#保存推奨,"May 29, 2026",54,,,,16,0
zXhuWjLaoew,高濃度乳房って病気なの？ マンモの結果が気になった方へ#マンモグラフィー #高濃度乳房 #乳がん検診 #乳がん検査 #乳腺エコー #検査結果 #病院検査 #診療放射線技師 #検査の不安 #安心解説,"Jun 9, 2026",38,,,,28,0
KFUL5Xln05M,DXA法って何？なぜ腰と太ももの付け根で測るの？#骨密度検査  #DXA法 #できさ #骨粗しょう症 #健康診断 #診療放射線技師 #検査の不安 #医療解説 #女性の健康 #健診 #安心して検査,"Jun 13, 2026",60,,,,15,0
Gk5NRgqUMZQ,自然放射線量は地域で違うって知ってた？,"May 13, 2026",37,,,,8,0
kiV9LttK6vk,お腹が痛いのに、なぜ胸のレントゲン？#胸部X線#レントゲン#腹痛#検査の理由#病院の検査#診療放射線技師#医療知識#検査前の不安#患者さん向け,"Jun 23, 2026",63,,,,9,0
fybSjgRq3x8,足の検査なのに、なぜ反対側の足も撮るの？#レントゲン #足の検査 #放射線検査 #診療放射線技師 #医療知識 #検査の不安 #病院検査 #医療豆知識 #患者さん向け #検査説明,"Jul 16, 2026",64,,,,6,0
